2025-11-03 15:09:16,099 - INFO - Inisialisasi Enhanced Screen Detection...
2025-11-03 15:09:20,231 - INFO - Loading InsightFace...
2025-11-03 15:09:20,726 - INFO - ✓ InsightFace loaded
2025-11-03 15:09:20,726 - INFO - Enhanced Screen Detector siap!
2025-11-03 15:09:20,726 - INFO - Starting Enhanced Screen Detection...
2025-11-03 15:09:23,632 - INFO - Frame 34: FAKE - Conf: 0.400, Texture: 13459, EdgeQ: 0.13, Penalty: 0.30
2025-11-03 15:09:23,699 - INFO - Frame 35: FAKE - Conf: 0.200, Texture: 14996, EdgeQ: 0.19, Penalty: 0.50
2025-11-03 15:09:23,767 - INFO - Frame 36: FAKE - Conf: 0.400, Texture: 17238, EdgeQ: 0.20, Penalty: 0.30
2025-11-03 15:09:23,837 - INFO - Frame 37: FAKE - Conf: 0.300, Texture: 19077, EdgeQ: 0.21, Penalty: 0.50
2025-11-03 15:09:23,899 - INFO - Frame 38: FAKE - Conf: 0.400, Texture: 15479, EdgeQ: 0.16, Penalty: 0.30
2025-11-03 15:09:23,964 - INFO - Frame 39: FAKE - Conf: 0.200, Texture: 15596, EdgeQ: 0.13, Penalty: 0.50
2025-11-03 15:09:24,032 - INFO - Frame 40: FAKE - Conf: 0.200, Texture: 16975, EdgeQ: 0.17, Penalty: 0.50
2025-11-03 15:09:24,098 - INFO - Frame 41: FAKE - Conf: 0.200, Texture: 15419, EdgeQ: 0.13, Penalty: 0.50
2025-11-03 15:09:24,165 - INFO - Frame 42: FAKE - Conf: 0.300, Texture: 15005, EdgeQ: 0.24, Penalty: 0.50
2025-11-03 15:09:24,235 - INFO - Frame 43: FAKE - Conf: 0.300, Texture: 16999, EdgeQ: 0.22, Penalty: 0.50
2025-11-03 15:09:24,296 - INFO - Frame 44: FAKE - Conf: 0.300, Texture: 17354, EdgeQ: 0.24, Penalty: 0.50
2025-11-03 15:09:24,368 - INFO - Frame 45: FAKE - Conf: 0.500, Texture: 17952, EdgeQ: 0.24, Penalty: 0.30
2025-11-03 15:09:24,447 - INFO - Frame 46: FAKE - Conf: 0.500, Texture: 18711, EdgeQ: 0.21, Penalty: 0.30
2025-11-03 15:09:24,543 - INFO - Frame 47: FAKE - Conf: 0.300, Texture: 18022, EdgeQ: 0.25, Penalty: 0.50
2025-11-03 15:09:24,614 - INFO - Frame 48: FAKE - Conf: 0.200, Texture: 17432, EdgeQ: 0.20, Penalty: 0.50
2025-11-03 15:09:24,706 - INFO - Frame 49: FAKE - Conf: 0.200, Texture: 14633, EdgeQ: 0.17, Penalty: 0.50
2025-11-03 15:09:24,765 - INFO - Frame 50: FAKE - Conf: 0.200, Texture: 14549, EdgeQ: 0.14, Penalty: 0.50
2025-11-03 15:09:24,831 - INFO - Frame 51: FAKE - Conf: 0.200, Texture: 15534, EdgeQ: 0.16, Penalty: 0.50
2025-11-03 15:09:24,895 - INFO - Frame 52: FAKE - Conf: 0.200, Texture: 22342, EdgeQ: 0.16, Penalty: 0.50
2025-11-03 15:09:24,963 - INFO - Frame 53: FAKE - Conf: 0.200, Texture: 25177, EdgeQ: 0.19, Penalty: 0.50
2025-11-03 15:09:25,036 - INFO - Frame 54: FAKE - Conf: 0.200, Texture: 26146, EdgeQ: 0.11, Penalty: 0.50
2025-11-03 15:09:25,099 - INFO - Frame 55: FAKE - Conf: 0.200, Texture: 27982, EdgeQ: 0.20, Penalty: 0.50
2025-11-03 15:09:25,167 - INFO - Frame 56: FAKE - Conf: 0.200, Texture: 30093, EdgeQ: 0.13, Penalty: 0.50
2025-11-03 15:09:25,233 - INFO - Frame 57: FAKE - Conf: 0.200, Texture: 31283, EdgeQ: 0.18, Penalty: 0.50
2025-11-03 15:09:25,299 - INFO - Frame 58: FAKE - Conf: 0.200, Texture: 31698, EdgeQ: 0.16, Penalty: 0.50
2025-11-03 15:09:25,361 - INFO - Frame 59: FAKE - Conf: 0.200, Texture: 32586, EdgeQ: 0.18, Penalty: 0.50
2025-11-03 15:09:25,432 - INFO - Frame 60: FAKE - Conf: 0.300, Texture: 31160, EdgeQ: 0.26, Penalty: 0.50
2025-11-03 15:09:25,502 - INFO - Frame 61: FAKE - Conf: 0.500, Texture: 35542, EdgeQ: 0.19, Penalty: 0.20
2025-11-03 15:09:25,566 - INFO - Frame 62: FAKE - Conf: 0.500, Texture: 35959, EdgeQ: 0.18, Penalty: 0.20
2025-11-03 15:09:25,632 - INFO - Frame 63: FAKE - Conf: 0.500, Texture: 31027, EdgeQ: 0.19, Penalty: 0.20
2025-11-03 15:09:25,697 - INFO - Frame 64: FAKE - Conf: 0.600, Texture: 33492, EdgeQ: 0.21, Penalty: 0.20
2025-11-03 15:09:25,765 - INFO - Frame 65: FAKE - Conf: 0.600, Texture: 33926, EdgeQ: 0.27, Penalty: 0.20
2025-11-03 15:09:25,830 - INFO - Frame 66: FAKE - Conf: 0.500, Texture: 33308, EdgeQ: 0.18, Penalty: 0.20
2025-11-03 15:09:25,897 - INFO - Frame 67: FAKE - Conf: 0.500, Texture: 33377, EdgeQ: 0.19, Penalty: 0.20
2025-11-03 15:09:25,962 - INFO - Frame 68: FAKE - Conf: 0.600, Texture: 35516, EdgeQ: 0.23, Penalty: 0.20
2025-11-03 15:09:26,028 - INFO - Frame 69: FAKE - Conf: 0.600, Texture: 34705, EdgeQ: 0.23, Penalty: 0.20
2025-11-03 15:09:26,099 - INFO - Frame 70: FAKE - Conf: 0.600, Texture: 33504, EdgeQ: 0.22, Penalty: 0.20
2025-11-03 15:09:26,159 - INFO - Frame 71: FAKE - Conf: 0.600, Texture: 33697, EdgeQ: 0.22, Penalty: 0.20
2025-11-03 15:09:26,229 - INFO - Frame 72: FAKE - Conf: 0.600, Texture: 32964, EdgeQ: 0.25, Penalty: 0.20
2025-11-03 15:09:26,296 - INFO - Frame 73: FAKE - Conf: 0.600, Texture: 33833, EdgeQ: 0.22, Penalty: 0.20
2025-11-03 15:09:26,363 - INFO - Frame 74: FAKE - Conf: 0.600, Texture: 33379, EdgeQ: 0.25, Penalty: 0.20
2025-11-03 15:09:26,430 - INFO - Frame 75: FAKE - Conf: 0.600, Texture: 34922, EdgeQ: 0.27, Penalty: 0.20
2025-11-03 15:09:26,496 - INFO - Frame 76: FAKE - Conf: 0.600, Texture: 33992, EdgeQ: 0.28, Penalty: 0.20
2025-11-03 15:09:26,563 - INFO - Frame 77: FAKE - Conf: 0.600, Texture: 34427, EdgeQ: 0.22, Penalty: 0.20
2025-11-03 15:09:26,634 - INFO - Frame 78: FAKE - Conf: 0.600, Texture: 34430, EdgeQ: 0.21, Penalty: 0.20
2025-11-03 15:09:26,703 - INFO - Frame 79: FAKE - Conf: 0.600, Texture: 33590, EdgeQ: 0.25, Penalty: 0.20
2025-11-03 15:09:26,766 - INFO - Frame 80: FAKE - Conf: 0.600, Texture: 35522, EdgeQ: 0.23, Penalty: 0.20
2025-11-03 15:09:26,834 - INFO - Frame 81: FAKE - Conf: 0.600, Texture: 32676, EdgeQ: 0.21, Penalty: 0.20
2025-11-03 15:09:26,899 - INFO - Frame 82: FAKE - Conf: 0.500, Texture: 31317, EdgeQ: 0.18, Penalty: 0.20
2025-11-03 15:09:26,964 - INFO - Frame 83: FAKE - Conf: 0.500, Texture: 34125, EdgeQ: 0.18, Penalty: 0.20
2025-11-03 15:09:27,028 - INFO - Frame 84: FAKE - Conf: 0.500, Texture: 36135, EdgeQ: 0.19, Penalty: 0.20
2025-11-03 15:09:27,095 - INFO - Frame 85: FAKE - Conf: 0.500, Texture: 34668, EdgeQ: 0.18, Penalty: 0.20
2025-11-03 15:09:27,163 - INFO - Frame 86: FAKE - Conf: 0.500, Texture: 36466, EdgeQ: 0.18, Penalty: 0.20
2025-11-03 15:09:27,229 - INFO - Frame 87: FAKE - Conf: 0.500, Texture: 33225, EdgeQ: 0.15, Penalty: 0.20
2025-11-03 15:09:27,299 - INFO - Frame 88: FAKE - Conf: 0.500, Texture: 31295, EdgeQ: 0.16, Penalty: 0.20
2025-11-03 15:09:27,364 - INFO - Frame 89: FAKE - Conf: 0.500, Texture: 30807, EdgeQ: 0.16, Penalty: 0.20
2025-11-03 15:09:27,431 - INFO - Frame 90: FAKE - Conf: 0.500, Texture: 26953, EdgeQ: 0.20, Penalty: 0.20
2025-11-03 15:09:27,499 - INFO - Frame 91: FAKE - Conf: 0.500, Texture: 28488, EdgeQ: 0.18, Penalty: 0.20
2025-11-03 15:09:27,568 - INFO - Frame 92: FAKE - Conf: 0.500, Texture: 27289, EdgeQ: 0.20, Penalty: 0.20
2025-11-03 15:09:27,632 - INFO - Frame 93: FAKE - Conf: 0.500, Texture: 28518, EdgeQ: 0.17, Penalty: 0.20
